"General"			"常规"

"Port"			"代理端口"
"Log Level"		"日志级别"
"Copy proxy setting commands"	"复制代理设置命令"
"Select a terminal"		"选择一个终端"
"Commands have been copied to Clipboad!"	"命令已复制到剪贴板！"
"SOCKS5 Port"		"SOCKS5 代理端口"
"Allow LAN"		"局域网代理"
"Home Directory"		"配置文件目录"
"Open Folder"		"打开文件夹"
"GeoIP Database"		"GeoIP 数据库"
"Error"			"错误" 
"Updating GeoIP database is not allowed in CFW, please do it manually."	"CFW不允许更新GeoIP数据库，请手动进行。"
"UWP Loopback"		"UWP应用联网限制解除工具"
"Launch Helper"		"启动程序"
"TAP Device"		"虚拟网卡驱动"
"Manage"		"管理"
"TAP device management"	"虚拟网卡设备管理"
'An adapter named "cfw-tap" will route your data into clash.'	'“cfw-tap” 将会安装到您的ClashR中。'
"Install"			"安装"
"Remove"		"卸载"
"General YAML"		"文本模式编辑基础配置"
"Text Mode Edit"		"编辑"
"Theme"			"主题"
"Light", "Dark", "2020"	"白亮", "暗黑", "2020"
"System Proxy"		"系统代理"
"Start with Windows"	"开机自启动"



"Proxies"			"代理"


"Profiles"			"配置"

"Download from a URL"	"填入配置地址"
"Download"		"下载"
"Downloading"		"下载中……"
"Success!"		"成功!"
"Error!"			"错误!"
"Edit in text mode"		"文本编辑"
"Edit in Text Mode"		"文本编辑"
"Edit policies"		"策略编辑"
"Edit rules"		"规则编辑"
"Duplicate profile"		"复制配置文件"
"Change information"	"修改配置文件信息"
"Update this profile"	"更新配置文件"
"Edit profile information"	"编辑配置信息"
"Name"			"备注"
"URL"			"地址"
"Update Interval (hour)"	"更新间隔 (小时)"
"Cancel"			"取消"
"OK"			"确认"
"Save"			"保存"
"Copy profile"		"复制配置"
"Input a new file name"	"填入新的备注"
"Last Updated: "		"上次更新: "
"Add"			"添加"
"Top 100 matching rules(" + e._s(e.memoryData.length) + ")."	"前100个匹配规则(" + e._s(e.memoryData.length) + ")."
"Please confirm"		"请确认"
"config.yaml and country.mmdb will be removed."	"config.yaml和country.mmdb将被删除。"
'Are you sure to delete "' + a + '"?'			'您确定要删除 "' + a + '"?'
"Yes", "No"		"是", "否"
"fiter by keywords"		"按关键字过滤"


"Logs"			"日志"

"Clear"			"清除"
"Stop"			"停止"
"Start"			"开始"
("Requests in " + e._s(this.mode) + " mode")	(e._s(this.mode) + "模式下所代理的请求")


"Connections"		

"Total: ↑"			"总计: ↑"
"Upload Speed"		"上传速度"
"Download Speed"		"下载速度"
"Upload Traffic"		"上传流量"
"Download Traffic"		"下载流量"
"Time"			"连接时间"
"Close All"		"全部断开"
"Connections"		"活动连接"


"Feedback"		"反馈"

"Developer"		"开发者"
"Relevance"		"相关链接"
"Thanks"			"鸣谢"
"Advertisement"		"广告"


"Connected"		"连接成功"
"Silent Mode"		"静音模式"
"Disconnected"		"断开连接"
"Setting DNS..."		"设置 DNS……"
"Installing"		"正在安装"
"Uninstalling"		"正在卸载"

"Clash is running in the background", "Enjoy your free time!"	"ClashR 已经在后台运行", "享受你的自由时光！"

"oops, got an error here"	"卧槽，这里出现错误"
"Open logs folder"		"打开日志文件夹"
"Try to repair"		"尝试修复"
"Could not connect to Clash Core"	"无法连接到Clash Core"
"Accessors not supported!"	"不支持访问器！"
" is not an object!"		" 不是对象！"
"Invalid attempt to destructure non-iterable instance"	"无效的尝试来破坏不可迭代的实例"
" is not a function!"		" 不是功能！"
"Can't call method on  " + e	"无法在 " + e "上调用方法"
"Can't convert object to primitive value"	"无法将对象转换为原始值"
"Bad Promise constructor"	"不良承诺的建设者"
"Symbol is not a constructor!"	"Symbol不是构造函数！"
" is not a symbol!"		" 不是Symbol"
" is not iterable!"		" 不可迭代"
": incorrect invocation!"	": 错误的调用！"
"The iterator does not provide a 'throw' method"	"迭代器不提供“抛出”方法"
"iterator result is not an object"	"迭代器结果不是对象"
